,Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,AverageTemp,Temp_Deviation,Temp_vs_Avg,Weather_Impression,Is_Holiday
10103,2012-01-01,Sunday,8.0,9.82,14,58.0,,Brot,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10104,2012-01-01,Sunday,8.0,9.82,14,58.0,,Brötchen,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10105,2012-01-01,Sunday,8.0,9.82,14,58.0,,Croissant,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10106,2012-01-01,Sunday,8.0,9.82,14,58.0,,Konditorei,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10107,2012-01-01,Sunday,8.0,9.82,14,58.0,,Kuchen,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10108,2012-01-01,Sunday,8.0,9.82,14,58.0,,Saisonbrot,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
0,2012-01-01,Sunday,8.0,9.82,14,58.0,,,,0.0,6.504342105263158,3.3156578947368427,Significantly warmer,okay,1
10109,2012-01-02,Monday,7.0,7.44,12,0.0,,Brot,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10110,2012-01-02,Monday,7.0,7.44,12,0.0,,Brötchen,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10111,2012-01-02,Monday,7.0,7.44,12,0.0,,Croissant,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10112,2012-01-02,Monday,7.0,7.44,12,0.0,,Konditorei,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10113,2012-01-02,Monday,7.0,7.44,12,0.0,,Kuchen,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10114,2012-01-02,Monday,7.0,7.44,12,0.0,,Saisonbrot,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
1,2012-01-02,Monday,7.0,7.44,12,0.0,,,,0.0,3.062303370786517,4.377696629213483,Significantly warmer,very good,0
10115,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Brot,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10116,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Brötchen,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10117,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Croissant,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10118,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Konditorei,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10119,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Kuchen,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10120,2012-01-03,Tuesday,8.0,5.54,18,63.0,,Saisonbrot,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
2,2012-01-03,Tuesday,8.0,5.54,18,63.0,,,,0.0,3.062303370786517,2.477696629213483,Significantly warmer,okay,0
10121,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Brot,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10122,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Brötchen,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10123,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Croissant,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10124,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Konditorei,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10125,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Kuchen,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10126,2012-01-04,Wednesday,4.0,5.69,19,80.0,,Saisonbrot,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
3,2012-01-04,Wednesday,4.0,5.69,19,80.0,,,,0.0,3.062303370786517,2.627696629213484,Significantly warmer,very bad,0
10127,2012-01-05,Thursday,6.0,5.3,23,80.0,,Brot,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10128,2012-01-05,Thursday,6.0,5.3,23,80.0,,Brötchen,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10129,2012-01-05,Thursday,6.0,5.3,23,80.0,,Croissant,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10130,2012-01-05,Thursday,6.0,5.3,23,80.0,,Konditorei,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10131,2012-01-05,Thursday,6.0,5.3,23,80.0,,Kuchen,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10132,2012-01-05,Thursday,6.0,5.3,23,80.0,,Saisonbrot,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
4,2012-01-05,Thursday,6.0,5.3,23,80.0,,,,0.0,3.062303370786517,2.237696629213483,Significantly warmer,very bad,0
10133,2012-01-06,Friday,3.0,2.62,10,0.0,,Brot,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10134,2012-01-06,Friday,3.0,2.62,10,0.0,,Brötchen,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10135,2012-01-06,Friday,3.0,2.62,10,0.0,,Croissant,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10136,2012-01-06,Friday,3.0,2.62,10,0.0,,Konditorei,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10137,2012-01-06,Friday,3.0,2.62,10,0.0,,Kuchen,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10138,2012-01-06,Friday,3.0,2.62,10,0.0,,Saisonbrot,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
5,2012-01-06,Friday,3.0,2.62,10,0.0,,,,0.0,3.062303370786517,-0.4423033707865169,Normal,very good,0
10139,2012-01-07,Saturday,7.0,6.53,14,61.0,,Brot,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10140,2012-01-07,Saturday,7.0,6.53,14,61.0,,Brötchen,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10141,2012-01-07,Saturday,7.0,6.53,14,61.0,,Croissant,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10142,2012-01-07,Saturday,7.0,6.53,14,61.0,,Konditorei,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10143,2012-01-07,Saturday,7.0,6.53,14,61.0,,Kuchen,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10144,2012-01-07,Saturday,7.0,6.53,14,61.0,,Saisonbrot,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
6,2012-01-07,Saturday,7.0,6.53,14,61.0,,,,0.0,3.062303370786517,3.467696629213483,Significantly warmer,okay,0
10145,2012-01-08,Sunday,7.0,5.96,10,80.0,,Brot,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10146,2012-01-08,Sunday,7.0,5.96,10,80.0,,Brötchen,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10147,2012-01-08,Sunday,7.0,5.96,10,80.0,,Croissant,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10148,2012-01-08,Sunday,7.0,5.96,10,80.0,,Konditorei,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10149,2012-01-08,Sunday,7.0,5.96,10,80.0,,Kuchen,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10150,2012-01-08,Sunday,7.0,5.96,10,80.0,,Saisonbrot,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
7,2012-01-08,Sunday,7.0,5.96,10,80.0,,,,0.0,3.062303370786517,2.897696629213483,Significantly warmer,very bad,0
10151,2012-01-09,Monday,8.0,5.15,12,61.0,,Brot,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10152,2012-01-09,Monday,8.0,5.15,12,61.0,,Brötchen,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10153,2012-01-09,Monday,8.0,5.15,12,61.0,,Croissant,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10154,2012-01-09,Monday,8.0,5.15,12,61.0,,Konditorei,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10155,2012-01-09,Monday,8.0,5.15,12,61.0,,Kuchen,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10156,2012-01-09,Monday,8.0,5.15,12,61.0,,Saisonbrot,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
8,2012-01-09,Monday,8.0,5.15,12,61.0,,,,0.0,4.240261780104712,0.9097382198952886,Slightly warmer,okay,0
10157,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Brot,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10158,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Brötchen,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10159,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Croissant,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10160,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Konditorei,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10161,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Kuchen,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10162,2012-01-10,Tuesday,6.0,6.11,10,0.0,,Saisonbrot,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
9,2012-01-10,Tuesday,6.0,6.11,10,0.0,,,,0.0,4.240261780104712,1.8697382198952883,Significantly warmer,very good,0
10163,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Brot,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10164,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Brötchen,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10165,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Croissant,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10166,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Konditorei,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10167,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Kuchen,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10168,2012-01-11,Wednesday,6.0,7.86,16,51.0,,Saisonbrot,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10,2012-01-11,Wednesday,6.0,7.86,16,51.0,,,,0.0,4.240261780104712,3.619738219895289,Significantly warmer,okay,0
10169,2012-01-12,Thursday,7.0,7.44,25,61.0,,Brot,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10170,2012-01-12,Thursday,7.0,7.44,25,61.0,,Brötchen,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10171,2012-01-12,Thursday,7.0,7.44,25,61.0,,Croissant,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10172,2012-01-12,Thursday,7.0,7.44,25,61.0,,Konditorei,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10173,2012-01-12,Thursday,7.0,7.44,25,61.0,,Kuchen,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10174,2012-01-12,Thursday,7.0,7.44,25,61.0,,Saisonbrot,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
11,2012-01-12,Thursday,7.0,7.44,25,61.0,,,,0.0,4.240261780104712,3.1997382198952886,Significantly warmer,okay,0
10175,2012-01-13,Friday,2.0,4.8,18,0.0,,Brot,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10176,2012-01-13,Friday,2.0,4.8,18,0.0,,Brötchen,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10177,2012-01-13,Friday,2.0,4.8,18,0.0,,Croissant,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10178,2012-01-13,Friday,2.0,4.8,18,0.0,,Konditorei,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10179,2012-01-13,Friday,2.0,4.8,18,0.0,,Kuchen,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10180,2012-01-13,Friday,2.0,4.8,18,0.0,,Saisonbrot,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
12,2012-01-13,Friday,2.0,4.8,18,0.0,,,,0.0,4.240261780104712,0.559738219895288,Slightly warmer,very good,0
10181,2012-01-14,Saturday,3.0,2.89,10,0.0,,Brot,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10182,2012-01-14,Saturday,3.0,2.89,10,0.0,,Brötchen,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10183,2012-01-14,Saturday,3.0,2.89,10,0.0,,Croissant,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10184,2012-01-14,Saturday,3.0,2.89,10,0.0,,Konditorei,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10185,2012-01-14,Saturday,3.0,2.89,10,0.0,,Kuchen,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10186,2012-01-14,Saturday,3.0,2.89,10,0.0,,Saisonbrot,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
13,2012-01-14,Saturday,3.0,2.89,10,0.0,,,,0.0,4.240261780104712,-1.3502617801047117,Slightly colder,very good,0
10187,2012-01-15,Sunday,1.0,2.22,6,0.0,,Brot,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10188,2012-01-15,Sunday,1.0,2.22,6,0.0,,Brötchen,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10189,2012-01-15,Sunday,1.0,2.22,6,0.0,,Croissant,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10190,2012-01-15,Sunday,1.0,2.22,6,0.0,,Konditorei,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10191,2012-01-15,Sunday,1.0,2.22,6,0.0,,Kuchen,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10192,2012-01-15,Sunday,1.0,2.22,6,0.0,,Saisonbrot,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
14,2012-01-15,Sunday,1.0,2.22,6,0.0,,,,0.0,4.240261780104712,-2.020261780104712,Significantly colder,very good,0
10193,2012-01-16,Monday,8.0,3.06,6,61.0,,Brot,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10194,2012-01-16,Monday,8.0,3.06,6,61.0,,Brötchen,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10195,2012-01-16,Monday,8.0,3.06,6,61.0,,Croissant,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10196,2012-01-16,Monday,8.0,3.06,6,61.0,,Konditorei,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10197,2012-01-16,Monday,8.0,3.06,6,61.0,,Kuchen,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10198,2012-01-16,Monday,8.0,3.06,6,61.0,,Saisonbrot,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
15,2012-01-16,Monday,8.0,3.06,6,61.0,,,,0.0,2.522539682539682,0.5374603174603174,Slightly warmer,okay,0
10199,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Brot,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10200,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Brötchen,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10201,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Croissant,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10202,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Konditorei,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10203,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Kuchen,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10204,2012-01-17,Tuesday,6.0,4.49,10,0.0,,Saisonbrot,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
16,2012-01-17,Tuesday,6.0,4.49,10,0.0,,,,0.0,2.522539682539682,1.9674603174603176,Significantly warmer,very good,0
10205,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Brot,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10206,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Brötchen,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10207,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Croissant,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10208,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Konditorei,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10209,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Kuchen,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10210,2012-01-18,Wednesday,7.0,2.35,12,51.0,,Saisonbrot,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
17,2012-01-18,Wednesday,7.0,2.35,12,51.0,,,,0.0,2.522539682539682,-0.1725396825396825,Normal,okay,0
10211,2012-01-19,Thursday,8.0,5.26,16,80.0,,Brot,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10212,2012-01-19,Thursday,8.0,5.26,16,80.0,,Brötchen,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10213,2012-01-19,Thursday,8.0,5.26,16,80.0,,Croissant,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10214,2012-01-19,Thursday,8.0,5.26,16,80.0,,Konditorei,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10215,2012-01-19,Thursday,8.0,5.26,16,80.0,,Kuchen,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10216,2012-01-19,Thursday,8.0,5.26,16,80.0,,Saisonbrot,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
18,2012-01-19,Thursday,8.0,5.26,16,80.0,,,,0.0,2.522539682539682,2.737460317460317,Significantly warmer,very bad,0
10217,2012-01-20,Friday,6.0,3.44,12,26.0,,Brot,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10218,2012-01-20,Friday,6.0,3.44,12,26.0,,Brötchen,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10219,2012-01-20,Friday,6.0,3.44,12,26.0,,Croissant,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10220,2012-01-20,Friday,6.0,3.44,12,26.0,,Konditorei,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10221,2012-01-20,Friday,6.0,3.44,12,26.0,,Kuchen,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10222,2012-01-20,Friday,6.0,3.44,12,26.0,,Saisonbrot,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
19,2012-01-20,Friday,6.0,3.44,12,26.0,,,,0.0,2.522539682539682,0.9174603174603172,Slightly warmer,bad,0
10223,2012-01-21,Saturday,7.0,3.54,16,68.0,,Brot,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10224,2012-01-21,Saturday,7.0,3.54,16,68.0,,Brötchen,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10225,2012-01-21,Saturday,7.0,3.54,16,68.0,,Croissant,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10226,2012-01-21,Saturday,7.0,3.54,16,68.0,,Konditorei,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10227,2012-01-21,Saturday,7.0,3.54,16,68.0,,Kuchen,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10228,2012-01-21,Saturday,7.0,3.54,16,68.0,,Saisonbrot,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
20,2012-01-21,Saturday,7.0,3.54,16,68.0,,,,0.0,2.522539682539682,1.0174603174603174,Slightly warmer,bad,0
10229,2012-01-22,Sunday,6.0,3.79,12,21.0,,Brot,,0.0,2.522539682539682,1.2674603174603174,Slightly warmer,okay,0
