Datum,Feiertag,Wochentag,Is_Holiday
2012-01-01,New year,Sunday,1
2012-04-06,Karfreitag,Friday,1
2012-04-09,Ostermontag,Monday,1
2012-05-01,Tag der Arbeit,Tuesday,1
2012-05-17,Mariä Empfängnis,Thursday,1
2012-05-28,Pfingstmontag,Monday,1
2012-10-03,Tag der Deutschen Einheit,Wednesday,1
2012-12-25,1. Weihnachtstag,Tuesday,1
2012-12-26,2. Weihnachtstag,Wednesday,1
2013-01-01,New year,Tuesday,1
2013-03-29,Karfreitag,Friday,1
2013-04-01,Ostermontag,Monday,1
2013-05-01,Tag der Arbeit,Wednesday,1
2013-05-09,Mariä Empfängnis,Thursday,1
2013-05-20,Pfingstmontag,Monday,1
2013-10-03,Tag der Deutschen Einheit,Thursday,1
2013-12-25,1. Weihnachtstag,Wednesday,1
2013-12-26,2. Weihnachtstag,Thursday,1
2014-01-01,New year,Wednesday,1
2014-04-18,Karfreitag,Friday,1
2014-04-21,Ostermontag,Monday,1
2014-05-01,Tag der Arbeit,Thursday,1
2014-05-29,Mariä Empfängnis,Thursday,1
2014-06-09,Pfingstmontag,Monday,1
2014-10-03,Tag der Deutschen Einheit,Friday,1
2014-12-25,1. Weihnachtstag,Thursday,1
2014-12-26,2. Weihnachtstag,Friday,1
2015-01-01,New year,Thursday,1
2015-04-03,Karfreitag,Friday,1
2015-04-06,Ostermontag,Monday,1
2015-05-01,Tag der Arbeit,Friday,1
2015-05-14,Mariä Empfängnis,Thursday,1
2015-05-25,Pfingstmontag,Monday,1
2015-10-03,Tag der Deutschen Einheit,Saturday,1
2015-12-25,1. Weihnachtstag,Friday,1
2015-12-26,2. Weihnachtstag,Saturday,1
2016-01-01,New year,Friday,1
2016-03-25,Karfreitag,Friday,1
2016-03-28,Ostermontag,Monday,1
2016-05-01,Tag der Arbeit,Sunday,1
2016-05-05,Mariä Empfängnis,Thursday,1
2016-05-16,Pfingstmontag,Monday,1
2016-10-03,Tag der Deutschen Einheit,Monday,1
2016-12-25,1. Weihnachtstag,Sunday,1
2016-12-26,2. Weihnachtstag,Monday,1
2017-01-01,New year,Sunday,1
2017-04-14,Karfreitag,Friday,1
2017-04-17,Ostermontag,Monday,1
2017-05-01,Tag der Arbeit,Monday,1
2017-05-25,Mariä Empfängnis,Thursday,1
2017-06-05,Pfingstmontag,Monday,1
2017-10-03,Tag der Deutschen Einheit,Tuesday,1
2017-10-31,Reformationstag,Tuesday,1
2017-12-25,1. Weihnachtstag,Monday,1
2017-12-26,2. Weihnachtstag,Tuesday,1
2018-01-01,New year,Monday,1
2018-03-30,Karfreitag,Friday,1
2018-04-02,Ostermontag,Monday,1
2018-05-01,Tag der Arbeit,Tuesday,1
2018-05-10,Mariä Empfängnis,Thursday,1
2018-05-21,Pfingstmontag,Monday,1
2018-10-03,Tag der Deutschen Einheit,Wednesday,1
2018-12-25,1. Weihnachtstag,Tuesday,1
2018-12-26,2. Weihnachtstag,Wednesday,1
2019-01-01,New year,Tuesday,1
2019-04-19,Karfreitag,Friday,1
2019-04-22,Ostermontag,Monday,1
2019-05-01,Tag der Arbeit,Wednesday,1
2019-05-30,Mariä Empfängnis,Thursday,1
2019-06-10,Pfingstmontag,Monday,1
2019-10-03,Tag der Deutschen Einheit,Thursday,1
2019-12-25,1. Weihnachtstag,Wednesday,1
2019-12-26,2. Weihnachtstag,Thursday,1
