Datum,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche
2013-07-01,6.0,17.84,15,20.0,1307011.0,1.0,148.83,0.0
2013-07-01,6.0,17.84,15,20.0,1307012.0,2.0,535.86,0.0
2013-07-01,6.0,17.84,15,20.0,1307013.0,3.0,201.2,0.0
2013-07-01,6.0,17.84,15,20.0,1307014.0,4.0,65.89,0.0
2013-07-01,6.0,17.84,15,20.0,1307015.0,5.0,317.48,0.0
2013-07-02,3.0,17.31,10,0.0,1307021.0,1.0,159.79,0.0
2013-07-02,3.0,17.31,10,0.0,1307022.0,2.0,546.78,0.0
2013-07-02,3.0,17.31,10,0.0,1307023.0,3.0,265.26,0.0
2013-07-02,3.0,17.31,10,0.0,1307024.0,4.0,74.54,0.0
2013-07-02,3.0,17.31,10,0.0,1307025.0,5.0,383.63,0.0
2013-07-03,7.0,21.08,6,61.0,1307031.0,1.0,111.89,0.0
2013-07-03,7.0,21.08,6,61.0,1307032.0,2.0,427.34,0.0
2013-07-03,7.0,21.08,6,61.0,1307033.0,3.0,210.26,0.0
2013-07-03,7.0,21.08,6,61.0,1307034.0,4.0,69.26,0.0
2013-07-03,7.0,21.08,6,61.0,1307035.0,5.0,305.52,0.0
2013-07-04,7.0,18.85,7,20.0,1307041.0,1.0,168.86,0.0
2013-07-04,7.0,18.85,7,20.0,1307042.0,2.0,454.86,0.0
2013-07-04,7.0,18.85,7,20.0,1307043.0,3.0,190.69,0.0
2013-07-04,7.0,18.85,7,20.0,1307044.0,4.0,61.49,0.0
2013-07-04,7.0,18.85,7,20.0,1307045.0,5.0,308.41,0.0
2013-07-05,5.0,19.98,12,0.0,1307051.0,1.0,171.28,0.0
2013-07-05,5.0,19.98,12,0.0,1307052.0,2.0,492.82,0.0
2013-07-05,5.0,19.98,12,0.0,1307053.0,3.0,181.64,0.0
2013-07-05,5.0,19.98,12,0.0,1307054.0,4.0,86.76,0.0
2013-07-05,5.0,19.98,12,0.0,1307055.0,5.0,355.52,0.0
2013-07-06,0.0,18.96,8,0.0,1307061.0,1.0,174.55,0.0
2013-07-06,0.0,18.96,8,0.0,1307062.0,2.0,631.91,0.0
2013-07-06,0.0,18.96,8,0.0,1307063.0,3.0,291.56,0.0
2013-07-06,0.0,18.96,8,0.0,1307064.0,4.0,80.65,0.0
2013-07-06,0.0,18.96,8,0.0,1307065.0,5.0,361.87,0.0
2013-07-07,0.0,21.38,9,0.0,1307071.0,1.0,92.64,0.0
2013-07-07,0.0,21.38,9,0.0,1307072.0,2.0,695.26,0.0
2013-07-07,0.0,21.38,9,0.0,1307073.0,3.0,279.67,0.0
2013-07-07,0.0,21.38,9,0.0,1307074.0,4.0,94.6,0.0
2013-07-07,0.0,21.38,9,0.0,1307075.0,5.0,370.21,0.0
2013-07-08,0.0,22.72,10,5.0,1307081.0,1.0,135.5,0.0
2013-07-08,0.0,22.72,10,5.0,1307082.0,2.0,538.53,0.0
2013-07-08,0.0,22.72,10,5.0,1307083.0,3.0,195.16,0.0
2013-07-08,0.0,22.72,10,5.0,1307084.0,4.0,49.5,0.0
2013-07-08,0.0,22.72,10,5.0,1307085.0,5.0,285.23,0.0
