Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,AverageTemp,Temp_Deviation,Temp_vs_Avg
2012-01-01,Sunday,8.0,9.82,14,58.0,,,,,6.504342105263158,3.3156578947368427,Significantly warmer
2012-01-02,Monday,7.0,7.44,12,,,,,,3.062303370786517,4.377696629213483,Significantly warmer
2012-01-03,Tuesday,8.0,5.54,18,63.0,,,,,3.062303370786517,2.477696629213483,Significantly warmer
2012-01-04,Wednesday,4.0,5.69,19,80.0,,,,,3.062303370786517,2.6276966292134833,Significantly warmer
2012-01-05,Thursday,6.0,5.3,23,80.0,,,,,3.062303370786517,2.237696629213483,Significantly warmer
2012-01-06,Friday,3.0,2.62,10,,,,,,3.062303370786517,-0.44230337078651694,Normal
2012-01-07,Saturday,7.0,6.53,14,61.0,,,,,3.062303370786517,3.467696629213483,Significantly warmer
2012-01-08,Sunday,7.0,5.96,10,80.0,,,,,3.062303370786517,2.897696629213483,Significantly warmer
2012-01-09,Monday,8.0,5.15,12,61.0,,,,,4.240261780104712,0.9097382198952886,Slightly warmer
2012-01-10,Tuesday,6.0,6.11,10,,,,,,4.240261780104712,1.8697382198952885,Slightly warmer
2012-01-11,Wednesday,6.0,7.86,16,51.0,,,,,4.240261780104712,3.6197382198952885,Significantly warmer
2012-01-12,Thursday,7.0,7.44,25,61.0,,,,,4.240261780104712,3.1997382198952886,Significantly warmer
2012-01-13,Friday,2.0,4.8,18,,,,,,4.240261780104712,0.559738219895288,Slightly warmer
2012-01-14,Saturday,3.0,2.89,10,,,,,,4.240261780104712,-1.3502617801047117,Slightly colder
2012-01-15,Sunday,1.0,2.22,6,,,,,,4.240261780104712,-2.0202617801047116,Significantly colder
2012-01-16,Monday,8.0,3.06,6,61.0,,,,,2.5225396825396826,0.5374603174603174,Slightly warmer
2012-01-17,Tuesday,6.0,4.49,10,,,,,,2.5225396825396826,1.9674603174603176,Slightly warmer
2012-01-18,Wednesday,7.0,2.35,12,51.0,,,,,2.5225396825396826,-0.17253968253968255,Normal
2012-01-19,Thursday,8.0,5.26,16,80.0,,,,,2.5225396825396826,2.737460317460317,Significantly warmer
2012-01-20,Friday,6.0,3.44,12,26.0,,,,,2.5225396825396826,0.9174603174603173,Slightly warmer
2012-01-21,Saturday,7.0,3.54,16,68.0,,,,,2.5225396825396826,1.0174603174603174,Slightly warmer
2012-01-22,Sunday,6.0,3.79,12,21.0,,,,,2.5225396825396826,1.2674603174603174,Slightly warmer
2012-01-23,Monday,5.0,2.21,4,10.0,,,,,2.1352380952380954,0.07476190476190459,Normal
2012-01-24,Tuesday,3.0,1.76,6,,,,,,2.1352380952380954,-0.37523809523809537,Normal
2012-01-25,Wednesday,3.0,-0.19,8,,,,,,2.1352380952380954,-2.3252380952380953,Significantly colder
2012-01-26,Thursday,2.0,0.36,12,,,,,,2.1352380952380954,-1.7752380952380955,Slightly colder
2012-01-27,Friday,8.0,-1.0,10,71.0,,,,,2.1352380952380954,-3.1352380952380954,Significantly colder
2012-01-28,Saturday,6.0,-1.39,10,10.0,,,,,2.1352380952380954,-3.5252380952380955,Significantly colder
2012-01-29,Sunday,7.0,-3.16,8,71.0,,,,,2.1352380952380954,-5.295238095238096,Significantly colder
2012-01-30,Monday,3.0,-2.28,12,,,,,,2.5624867724867726,-4.842486772486772,Significantly colder
2012-01-31,Tuesday,1.0,-2.38,18,,,,,,2.5624867724867726,-4.942486772486772,Significantly colder
2012-02-01,Wednesday,7.0,-1.82,16,71.0,,,,,2.5624867724867726,-4.382486772486772,Significantly colder
2012-02-02,Thursday,6.0,-5.85,8,85.0,,,,,2.5624867724867726,-8.412486772486773,Significantly colder
2012-02-03,Friday,4.0,-5.85,14,3.0,,,,,2.5624867724867726,-8.412486772486773,Significantly colder
2012-02-04,Saturday,4.0,-7.54,10,71.0,,,,,2.5624867724867726,-10.102486772486772,Significantly colder
2012-02-05,Sunday,5.0,-7.71,8,,,,,,2.5624867724867726,-10.272486772486772,Significantly colder
2012-02-06,Monday,4.0,-10.25,6,10.0,,,,,2.0685714285714285,-12.318571428571428,Significantly colder
2012-02-07,Tuesday,6.0,-3.0,18,71.0,,,,,2.0685714285714285,-5.0685714285714285,Significantly colder
2012-02-08,Wednesday,6.0,-2.76,10,,,,,,2.0685714285714285,-4.828571428571428,Significantly colder
2012-02-09,Thursday,6.0,-1.66,21,3.0,,,,,2.0685714285714285,-3.7285714285714286,Significantly colder
2012-02-10,Friday,6.0,-2.81,8,71.0,,,,,2.0685714285714285,-4.878571428571428,Significantly colder
2012-02-11,Saturday,7.0,-4.58,8,78.0,,,,,2.0685714285714285,-6.648571428571429,Significantly colder
2012-02-12,Sunday,8.0,-1.24,16,72.0,,,,,2.0685714285714285,-3.3085714285714287,Significantly colder
2012-02-13,Monday,6.0,-2.33,8,10.0,,,,,4.293968253968254,-6.623968253968254,Significantly colder
2012-02-14,Tuesday,8.0,1.3,10,47.0,,,,,4.293968253968254,-2.993968253968254,Significantly colder
2012-02-15,Wednesday,1.0,4.86,18,,,,,,4.293968253968254,0.5660317460317463,Slightly warmer
2012-02-16,Thursday,7.0,2.96,10,61.0,,,,,4.293968253968254,-1.333968253968254,Slightly colder
2012-02-17,Friday,5.0,5.56,14,,,,,,4.293968253968254,1.2660317460317456,Slightly warmer
2012-02-18,Saturday,8.0,6.18,14,61.0,,,,,4.293968253968254,1.8860317460317457,Slightly warmer
2012-02-19,Sunday,4.0,4.2,18,25.0,,,,,4.293968253968254,-0.09396825396825381,Normal
2012-02-20,Monday,5.0,4.11,14,,,,,,4.729259259259259,-0.619259259259259,Slightly colder
2012-02-21,Tuesday,8.0,4.95,14,58.0,,,,,4.729259259259259,0.2207407407407409,Normal
2012-02-22,Wednesday,7.0,7.18,18,51.0,,,,,4.729259259259259,2.4507407407407404,Significantly warmer
2012-02-23,Thursday,6.0,8.41,18,,,,,,4.729259259259259,3.680740740740741,Significantly warmer
2012-02-24,Friday,7.0,8.35,19,20.0,,,,,4.729259259259259,3.6207407407407404,Significantly warmer
2012-02-25,Saturday,6.0,6.52,19,61.0,,,,,4.729259259259259,1.7907407407407403,Slightly warmer
2012-02-26,Sunday,1.0,4.68,8,,,,,,4.729259259259259,-0.04925925925925956,Normal
2012-02-27,Monday,8.0,3.72,12,61.0,,,,,4.5156613756613755,-0.7956613756613753,Slightly colder
