Datum,Temperatur,id,Warengruppe,Umsatz,Year,Week,AverageTemp,Temp_vs_Avg
2012-01-01,9.82,,,,2012,52,6.504342105263158,Significantly warmer
2012-01-02,7.44,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-03,5.54,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-04,5.69,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-05,5.3,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-06,2.62,,,,2012,1,3.062303370786517,Normal
2012-01-07,6.53,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-08,5.96,,,,2012,1,3.062303370786517,Significantly warmer
2012-01-09,5.15,,,,2012,2,4.240261780104712,Slightly warmer
2012-01-10,6.11,,,,2012,2,4.240261780104712,Slightly warmer
2012-01-11,7.86,,,,2012,2,4.240261780104712,Significantly warmer
2012-01-12,7.44,,,,2012,2,4.240261780104712,Significantly warmer
2012-01-13,4.8,,,,2012,2,4.240261780104712,Slightly warmer
2012-01-14,2.89,,,,2012,2,4.240261780104712,Slightly colder
2012-01-15,2.22,,,,2012,2,4.240261780104712,Significantly colder
2012-01-16,3.06,,,,2012,3,2.5225396825396826,Slightly warmer
2012-01-17,4.49,,,,2012,3,2.5225396825396826,Slightly warmer
2012-01-18,2.35,,,,2012,3,2.5225396825396826,Normal
2012-01-19,5.26,,,,2012,3,2.5225396825396826,Significantly warmer
2012-01-20,3.44,,,,2012,3,2.5225396825396826,Slightly warmer
2012-01-21,3.54,,,,2012,3,2.5225396825396826,Slightly warmer
2012-01-22,3.79,,,,2012,3,2.5225396825396826,Slightly warmer
2012-01-23,2.21,,,,2012,4,2.1352380952380954,Normal
2012-01-24,1.76,,,,2012,4,2.1352380952380954,Normal
2012-01-25,-0.19,,,,2012,4,2.1352380952380954,Significantly colder
2012-01-26,0.36,,,,2012,4,2.1352380952380954,Slightly colder
2012-01-27,-1.0,,,,2012,4,2.1352380952380954,Significantly colder
2012-01-28,-1.39,,,,2012,4,2.1352380952380954,Significantly colder
2012-01-29,-3.16,,,,2012,4,2.1352380952380954,Significantly colder
2012-01-30,-2.28,,,,2012,5,2.5624867724867726,Significantly colder
2012-01-31,-2.38,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-01,-1.82,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-02,-5.85,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-03,-5.85,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-04,-7.54,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-05,-7.71,,,,2012,5,2.5624867724867726,Significantly colder
2012-02-06,-10.25,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-07,-3.0,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-08,-2.76,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-09,-1.66,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-10,-2.81,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-11,-4.58,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-12,-1.24,,,,2012,6,2.0685714285714285,Significantly colder
2012-02-13,-2.33,,,,2012,7,4.293968253968254,Significantly colder
2012-02-14,1.3,,,,2012,7,4.293968253968254,Significantly colder
2012-02-15,4.86,,,,2012,7,4.293968253968254,Slightly warmer
2012-02-16,2.96,,,,2012,7,4.293968253968254,Slightly colder
2012-02-17,5.56,,,,2012,7,4.293968253968254,Slightly warmer
2012-02-18,6.18,,,,2012,7,4.293968253968254,Slightly warmer
2012-02-19,4.2,,,,2012,7,4.293968253968254,Normal
2012-02-20,4.11,,,,2012,8,4.729259259259259,Slightly colder
2012-02-21,4.95,,,,2012,8,4.729259259259259,Normal
2012-02-22,7.18,,,,2012,8,4.729259259259259,Significantly warmer
2012-02-23,8.41,,,,2012,8,4.729259259259259,Significantly warmer
2012-02-24,8.35,,,,2012,8,4.729259259259259,Significantly warmer
2012-02-25,6.52,,,,2012,8,4.729259259259259,Slightly warmer
2012-02-26,4.68,,,,2012,8,4.729259259259259,Normal
2012-02-27,3.72,,,,2012,9,4.5156613756613755,Slightly colder
2012-02-28,7.68,,,,2012,9,4.5156613756613755,Significantly warmer
2012-02-29,7.78,,,,2012,9,4.5156613756613755,Significantly warmer
2012-03-01,7.62,,,,2012,9,4.5156613756613755,Significantly warmer
2012-03-02,5.91,,,,2012,9,4.5156613756613755,Slightly warmer
2012-03-03,7.04,,,,2012,9,4.5156613756613755,Significantly warmer
2012-03-04,4.68,,,,2012,9,4.5156613756613755,Normal
2012-03-05,4.88,,,,2012,10,6.545691489361702,Slightly colder
2012-03-06,4.51,,,,2012,10,6.545691489361702,Significantly colder
2012-03-07,4.05,,,,2012,10,6.545691489361702,Significantly colder
2012-03-08,7.51,,,,2012,10,6.545691489361702,Slightly warmer
2012-03-09,7.82,,,,2012,10,6.545691489361702,Slightly warmer
2012-03-10,8.7,,,,2012,10,6.545691489361702,Significantly warmer
2012-03-11,8.95,,,,2012,10,6.545691489361702,Significantly warmer
2012-03-12,9.01,,,,2012,11,6.935449735449735,Significantly warmer
2012-03-13,9.95,,,,2012,11,6.935449735449735,Significantly warmer
2012-03-14,7.79,,,,2012,11,6.935449735449735,Slightly warmer
2012-03-15,7.4,,,,2012,11,6.935449735449735,Normal
2012-03-16,12.04,,,,2012,11,6.935449735449735,Significantly warmer
2012-03-17,9.78,,,,2012,11,6.935449735449735,Significantly warmer
2012-03-18,9.84,,,,2012,11,6.935449735449735,Significantly warmer
2012-03-19,8.11,,,,2012,12,8.297348066298342,Normal
2012-03-20,8.09,,,,2012,12,8.297348066298342,Normal
2012-03-21,12.62,,,,2012,12,8.297348066298342,Significantly warmer
2012-03-22,12.76,,,,2012,12,8.297348066298342,Significantly warmer
2012-03-23,13.49,,,,2012,12,8.297348066298342,Significantly warmer
2012-03-24,7.84,,,,2012,12,8.297348066298342,Normal
2012-03-25,13.14,,,,2012,12,8.297348066298342,Significantly warmer
2012-03-26,8.49,,,,2012,13,9.04735135135135,Slightly colder
2012-03-27,15.5,,,,2012,13,9.04735135135135,Significantly warmer
2012-03-28,14.84,,,,2012,13,9.04735135135135,Significantly warmer
2012-03-29,8.99,,,,2012,13,9.04735135135135,Normal
2012-03-30,9.96,,,,2012,13,9.04735135135135,Slightly warmer
2012-03-31,6.11,,,,2012,13,9.04735135135135,Significantly colder
2012-04-01,6.52,,,,2012,13,9.04735135135135,Significantly colder
2012-04-02,5.59,,,,2012,14,10.008251366120218,Significantly colder
2012-04-03,3.3,,,,2012,14,10.008251366120218,Significantly colder
2012-04-04,4.59,,,,2012,14,10.008251366120218,Significantly colder
2012-04-05,5.64,,,,2012,14,10.008251366120218,Significantly colder
2012-04-06,6.2,,,,2012,14,10.008251366120218,Significantly colder
2012-04-07,3.71,,,,2012,14,10.008251366120218,Significantly colder
2012-04-08,5.75,,,,2012,14,10.008251366120218,Significantly colder
2012-04-09,6.51,,,,2012,15,9.900918918918919,Significantly colder
2012-04-10,10.59,,,,2012,15,9.900918918918919,Slightly warmer
2012-04-11,10.48,,,,2012,15,9.900918918918919,Slightly warmer
2012-04-12,9.57,,,,2012,15,9.900918918918919,Normal
2012-04-13,8.72,,,,2012,15,9.900918918918919,Slightly colder
2012-04-14,8.81,,,,2012,15,9.900918918918919,Slightly colder
2012-04-15,8.07,,,,2012,15,9.900918918918919,Slightly colder
2012-04-16,7.5,,,,2012,16,11.503858695652173,Significantly colder
2012-04-17,8.04,,,,2012,16,11.503858695652173,Significantly colder
2012-04-18,9.61,,,,2012,16,11.503858695652173,Slightly colder
2012-04-19,14.24,,,,2012,16,11.503858695652173,Significantly warmer
2012-04-20,9.22,,,,2012,16,11.503858695652173,Significantly colder
2012-04-21,12.2,,,,2012,16,11.503858695652173,Slightly warmer
2012-04-22,9.99,,,,2012,16,11.503858695652173,Slightly colder
2012-04-23,9.95,,,,2012,17,10.822978723404255,Slightly colder
2012-04-24,10.0,,,,2012,17,10.822978723404255,Slightly colder
2012-04-25,11.64,,,,2012,17,10.822978723404255,Slightly warmer
2012-04-26,14.19,,,,2012,17,10.822978723404255,Significantly warmer
2012-04-27,14.92,,,,2012,17,10.822978723404255,Significantly warmer
2012-04-28,9.51,,,,2012,17,10.822978723404255,Slightly colder
2012-04-29,11.46,,,,2012,17,10.822978723404255,Slightly warmer
2012-04-30,16.24,,,,2012,18,13.66964705882353,Significantly warmer
2012-05-01,13.41,,,,2012,18,13.66964705882353,Normal
2012-05-02,13.45,,,,2012,18,13.66964705882353,Normal
2012-05-03,16.6,,,,2012,18,13.66964705882353,Significantly warmer
2012-05-04,12.65,,,,2012,18,13.66964705882353,Slightly colder
2012-05-05,10.5,,,,2012,18,13.66964705882353,Significantly colder
2012-05-06,8.6,,,,2012,18,13.66964705882353,Significantly colder
2012-05-07,7.58,,,,2012,19,15.136938775510204,Significantly colder
2012-05-08,16.08,,,,2012,19,15.136938775510204,Slightly warmer
2012-05-09,16.85,,,,2012,19,15.136938775510204,Slightly warmer
2012-05-10,17.85,,,,2012,19,15.136938775510204,Significantly warmer
2012-05-11,16.52,,,,2012,19,15.136938775510204,Slightly warmer
2012-05-12,9.39,,,,2012,19,15.136938775510204,Significantly colder
2012-05-13,11.01,,,,2012,19,15.136938775510204,Significantly colder
2012-05-14,14.52,,,,2012,20,15.801173469387756,Slightly colder
2012-05-15,11.45,,,,2012,20,15.801173469387756,Significantly colder
2012-05-16,8.89,,,,2012,20,15.801173469387756,Significantly colder
2012-05-17,10.81,,,,2012,20,15.801173469387756,Significantly colder
2012-05-18,16.21,,,,2012,20,15.801173469387756,Normal
2012-05-19,17.76,,,,2012,20,15.801173469387756,Slightly warmer
2012-05-20,18.48,,,,2012,20,15.801173469387756,Significantly warmer
2012-05-21,18.51,,,,2012,21,17.690210526315788,Slightly warmer
2012-05-22,19.2,,,,2012,21,17.690210526315788,Slightly warmer
2012-05-23,18.24,,,,2012,21,17.690210526315788,Slightly warmer
2012-05-24,18.86,,,,2012,21,17.690210526315788,Slightly warmer
2012-05-25,19.85,,,,2012,21,17.690210526315788,Significantly warmer
2012-05-26,21.45,,,,2012,21,17.690210526315788,Significantly warmer
2012-05-27,19.88,,,,2012,21,17.690210526315788,Significantly warmer
2012-05-28,22.84,,,,2012,22,17.829175257731958,Significantly warmer
2012-05-29,15.35,,,,2012,22,17.829175257731958,Significantly colder
2012-05-30,12.94,,,,2012,22,17.829175257731958,Significantly colder
