Datum,Weekday,Bewoelkung,Temperatur,Windgeschwindigkeit,Wettercode,id,Warengruppe,Umsatz,KielerWoche,Weather_Category,Weather_Category_Wind_Adjusted,Wind_Downgrade_Count
2012-01-01,Sunday,8.0,9.82,14,58.0,,,,,Rain,Rain,0
2012-01-02,Monday,7.0,7.44,12,,,,,,Unknown,Unknown,0
2012-01-03,Tuesday,8.0,5.54,18,63.0,,,,,Rain,Rain,0
2012-01-04,Wednesday,4.0,5.69,19,80.0,,,,,Rain,Rain,0
2012-01-05,Thursday,6.0,5.3,23,80.0,,,,,Rain,Rain,0
2012-01-06,Friday,3.0,2.62,10,,,,,,Unknown,Unknown,0
2012-01-07,Saturday,7.0,6.53,14,61.0,,,,,Rain,Rain,0
2012-01-08,Sunday,7.0,5.96,10,80.0,,,,,Rain,Rain,0
2012-01-09,Monday,8.0,5.15,12,61.0,,,,,Rain,Rain,0
2012-01-10,Tuesday,6.0,6.11,10,,,,,,Unknown,Unknown,0
2012-01-11,Wednesday,6.0,7.86,16,51.0,,,,,Rain,Rain,0
2012-01-12,Thursday,7.0,7.44,25,61.0,,,,,Rain,Rain,0
2012-01-13,Friday,2.0,4.8,18,,,,,,Unknown,Unknown,0
2012-01-14,Saturday,3.0,2.89,10,,,,,,Unknown,Unknown,0
2012-01-15,Sunday,1.0,2.22,6,,,,,,Unknown,Unknown,0
2012-01-16,Monday,8.0,3.06,6,61.0,,,,,Rain,Rain,0
2012-01-17,Tuesday,6.0,4.49,10,,,,,,Unknown,Unknown,0
2012-01-18,Wednesday,7.0,2.35,12,51.0,,,,,Rain,Rain,0
2012-01-19,Thursday,8.0,5.26,16,80.0,,,,,Rain,Rain,0
2012-01-20,Friday,6.0,3.44,12,26.0,,,,,Unknown,Unknown,0
2012-01-21,Saturday,7.0,3.54,16,68.0,,,,,Cold / Snow,Cold / Snow,0
2012-01-22,Sunday,6.0,3.79,12,21.0,,,,,Rain,Rain,0
2012-01-23,Monday,5.0,2.21,4,10.0,,,,,Moderate,Moderate,0
2012-01-24,Tuesday,3.0,1.76,6,,,,,,Unknown,Unknown,0
2012-01-25,Wednesday,3.0,-0.19,8,,,,,,Unknown,Unknown,0
2012-01-26,Thursday,2.0,0.36,12,,,,,,Unknown,Unknown,0
2012-01-27,Friday,8.0,-1.0,10,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-01-28,Saturday,6.0,-1.39,10,10.0,,,,,Moderate,Moderate,0
2012-01-29,Sunday,7.0,-3.16,8,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-01-30,Monday,3.0,-2.28,12,,,,,,Unknown,Unknown,0
2012-01-31,Tuesday,1.0,-2.38,18,,,,,,Unknown,Unknown,0
2012-02-01,Wednesday,7.0,-1.82,16,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-02,Thursday,6.0,-5.85,8,85.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-03,Friday,4.0,-5.85,14,3.0,,,,,Good,Good,0
2012-02-04,Saturday,4.0,-7.54,10,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-05,Sunday,5.0,-7.71,8,,,,,,Unknown,Unknown,0
2012-02-06,Monday,4.0,-10.25,6,10.0,,,,,Moderate,Moderate,0
2012-02-07,Tuesday,6.0,-3.0,18,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-08,Wednesday,6.0,-2.76,10,,,,,,Unknown,Unknown,0
2012-02-09,Thursday,6.0,-1.66,21,3.0,,,,,Good,Moderate,1
2012-02-10,Friday,6.0,-2.81,8,71.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-11,Saturday,7.0,-4.58,8,78.0,,,,,Extreme Weather,Extreme Weather,0
2012-02-12,Sunday,8.0,-1.24,16,72.0,,,,,Cold / Snow,Cold / Snow,0
2012-02-13,Monday,6.0,-2.33,8,10.0,,,,,Moderate,Moderate,0
2012-02-14,Tuesday,8.0,1.3,10,47.0,,,,,Extreme Weather,Extreme Weather,0
